item_id,y_true,y_pred
18677,7.0,7.215821208938391
12839,1.0,3.4364198282334186
5275,3.0,2.6536807974108547
13893,5.0,3.69315551064213
11365,31.0,13.969256427301591
13118,7.0,5.357869802619224
10777,2.0,3.3694004178373516
2946,19.0,16.659373182821646
5552,15.0,12.367662560505126
19338,4.0,0.9798273531705007
13039,1.0,1.5826218334329298
17717,521.0,606.7321829115302
1916,5.0,6.856486267144619
3823,9.0,13.059267844278773
16954,8.0,6.783423879805674
6953,2.0,2.5543906627267123
21445,8.0,1.5097145246511854
18619,6.0,4.818176982485962
17921,8.0,6.92808922980772
16180,3.0,5.801802349427666
3148,37.0,36.11453063426795
3158,10.0,0.04011501696414257
7220,25.0,15.880778684165708
5500,3.0,4.188403724969164
16128,10.0,5.740639191767706
14470,2.0,4.908996678448209
19927,1.0,2.4401682415828274
4548,5.0,5.082649479398791
3007,20.0,15.39093955013444
19041,7.0,13.654371269388474
20078,1.0,7.300239812257982
10452,9.0,11.036291777917123
16182,22.0,23.176905737802844
4701,2.0,6.4870373968142045
3871,17.0,31.146588872011925
13511,8.0,3.363570379051901
8363,10.0,8.255950314181364
1201,23.0,22.592514273668208
19346,4.0,3.9328218082387516
13609,2.0,5.534474695346288
8743,10.0,10.513521798453883
3656,11.0,7.202470533534249
16071,18.0,23.470266229971028
4445,4.0,7.430047304584982
1729,2.0,4.414375677748008
11425,2.0,1.0282462710847817
5361,4.0,1.8288793514743655
1241,3.0,4.684706401172908
16313,10.0,5.951471462200549
22088,185.0,125.71463632419375
4906,2.0,1.4689993394236547
14668,10.0,8.667066789068452
496,6.0,1.300863955412761
9171,1.0,0.8088354085562613
5459,28.0,32.920113569662085
3528,7.0,6.164839611264834
16315,23.0,22.782955898811352
18696,4.0,10.530001107725338
464,23.0,23.186859498429264
15836,5.0,2.2317604473519297
16206,10.0,16.981213297531113
6007,13.0,12.985939527631055
2626,7.0,3.899907328425861
2104,4.0,9.915843655800234
20111,3.0,12.273198851542059
12974,16.0,11.197489590806292
4003,6.0,3.3852133916733447
10908,11.0,3.161593189505497
10687,2.0,2.7607593848359224
13901,6.0,3.2218782866484834
5581,11.0,7.9090752583497235
2808,40.0,38.922711158488056
2607,20.0,18.03399069350866
9565,5.0,3.20353316845161
18333,2.0,9.367521519223173
5572,3.0,1.7236826484123269
10928,7.0,9.640874987950532
1102,3.0,4.177759292668002
11370,123.0,388.4064126507974
17610,9.0,1.620093246108588
18688,5.0,8.947492304402914
16210,23.0,28.489317896098246
10389,2.0,5.3978624936140704
18022,1.0,2.2470170724582434
14280,3.0,0.8034732368000619
1753,6.0,9.041101434141162
18672,6.0,3.550521774087919
18379,5.0,3.977725137202447
3686,2.0,0.8432609793428515
5497,7.0,4.048134488649762
21597,2.0,5.904447145843307
11373,2253.0,146.65739941196557
1329,4.0,5.7835959165717465
10911,10.0,5.340724272458887
10947,2.0,1.5756669139092376
17589,1.0,3.02383096121797
12498,5.0,3.7310696886092947
22092,46.0,41.835822727176584
11323,2.0,3.9134206638111766
17620,3.0,3.0770881982123814
1249,15.0,11.743731601781713
13065,4.0,1.599887139870186
19337,2.0,4.835497233290199
4244,27.0,43.07576430880617
15548,5.0,4.5557705278674145
4092,2.0,1.3826716341196739
18200,4.0,7.965508393466858
12990,5.0,5.593799880272429
16135,10.0,17.196463821904832
11879,2.0,5.098457280688132
15833,5.0,3.6425272040549395
8687,1.0,2.884481966544875
20104,3.0,10.879868822903997
6740,5.0,14.671363184120944
18669,6.0,6.673429318163717
11880,4.0,2.9645377720585517
13370,17.0,13.038319130386807
11324,2.0,1.8528928139778675
5823,182.0,107.79141680384822
19046,5.0,5.594200942094577
1315,2.0,2.779906115420776
22111,1.0,3.2112035672746613
45,1.0,4.842542114410269
19344,2.0,3.977089437188751
10894,2.0,4.226757578719206
10939,3.0,19.63674603168208
11060,4.0,5.446915635455505
7895,37.0,28.68533104575943
