item_id,date_block_num,item_cnt_day
32,0,299.0
32,1,208.0
32,2,178.0
32,3,97.0
32,4,66.0
32,5,79.0
32,6,87.0
32,7,72.0
32,8,59.0
32,9,58.0
32,10,81.0
32,11,90.0
32,12,84.0
32,13,48.0
32,14,44.0
32,15,30.0
32,16,26.0
32,17,26.0
32,18,12.0
32,19,34.0
32,20,37.0
32,21,37.0
32,22,29.0
32,23,40.0
32,24,43.0
32,25,32.0
32,26,40.0
32,27,20.0
32,28,20.0
32,29,26.0
32,30,21.0
32,31,30.0
32,32,19.0
32,33,22.0
33,0,61.0
33,1,40.0
33,2,32.0
33,3,16.0
33,4,12.0
33,5,44.0
33,6,46.0
33,7,36.0
33,8,43.0
33,9,33.0
33,10,15.0
33,11,42.0
33,12,42.0
33,13,29.0
33,14,30.0
33,15,18.0
33,16,17.0
33,17,22.0
33,18,14.0
33,19,17.0
33,20,13.0
33,21,14.0
33,22,20.0
33,23,21.0
33,24,19.0
33,25,26.0
33,26,20.0
33,27,13.0
33,28,12.0
33,29,11.0
33,30,15.0
33,31,14.0
33,32,17.0
33,33,16.0
45,0,8.0
45,1,7.0
45,2,7.0
45,3,6.0
45,4,4.0
45,5,6.0
45,6,8.0
45,7,3.0
45,8,3.0
45,9,3.0
45,10,5.0
45,11,4.0
45,12,5.0
45,13,4.0
45,14,3.0
45,15,5.0
45,16,8.0
45,17,8.0
45,18,4.0
45,19,6.0
45,20,7.0
45,21,6.0
45,22,8.0
45,23,10.0
45,24,11.0
45,25,2.0
45,26,3.0
45,27,5.0
45,28,2.0
45,29,1.0
45,30,3.0
45,31,4.0
45,32,6.0
45,33,1.0
49,0,5.0
49,1,9.0
49,2,13.0
49,3,12.0
49,4,8.0
49,5,13.0
49,6,7.0
49,7,5.0
49,8,3.0
49,9,2.0
49,10,6.0
49,11,7.0
49,12,8.0
49,13,7.0
49,14,8.0
49,15,5.0
49,16,4.0
49,17,8.0
49,18,6.0
49,19,2.0
49,20,2.0
49,21,10.0
49,22,3.0
49,23,2.0
49,24,2.0
49,25,4.0
49,26,2.0
49,27,5.0
49,28,2.0
49,29,3.0
49,30,4.0
49,31,4.0
49,32,3.0
49,33,2.0
51,0,13.0
51,1,18.0
51,2,23.0
51,3,11.0
51,4,14.0
51,5,3.0
51,6,6.0
51,7,2.0
51,8,8.0
51,9,13.0
51,10,10.0
51,11,7.0
51,12,6.0
51,13,5.0
51,14,13.0
51,15,3.0
51,16,10.0
51,17,7.0
51,18,9.0
51,19,4.0
51,20,4.0
51,21,5.0
51,22,1.0
51,23,2.0
51,24,8.0
51,25,7.0
51,26,4.0
51,27,4.0
51,28,2.0
51,29,2.0
51,30,3.0
51,31,4.0
51,32,3.0
51,33,2.0
53,0,8.0
53,1,6.0
53,2,7.0
53,3,5.0
53,4,7.0
53,5,2.0
53,6,12.0
53,7,11.0
53,8,2.0
53,9,6.0
53,10,2.0
53,11,10.0
53,12,8.0
53,13,6.0
53,14,5.0
53,15,2.0
53,16,6.0
53,17,11.0
53,18,5.0
53,19,8.0
53,20,5.0
53,21,7.0
53,22,3.0
53,23,8.0
53,24,5.0
53,25,3.0
53,26,6.0
53,27,4.0
53,28,4.0
53,29,3.0
53,30,4.0
53,31,3.0
53,32,5.0
53,33,1.0
57,0,1.0
57,1,5.0
57,2,1.0
57,3,8.0
57,4,8.0
57,5,6.0
57,6,9.0
57,7,4.0
57,8,5.0
57,9,5.0
57,10,12.0
57,11,7.0
57,12,7.0
57,13,4.0
57,14,6.0
57,15,3.0
57,16,5.0
57,17,5.0
57,18,3.0
57,19,2.0
57,20,2.0
57,21,5.0
57,22,5.0
57,23,9.0
57,24,4.0
57,25,6.0
57,26,1.0
57,27,1.0
57,28,2.0
57,29,2.0
57,30,1.0
57,31,7.0
57,32,5.0
57,33,1.0
308,0,3.0
308,1,5.0
308,2,6.0
308,3,6.0
308,4,6.0
308,5,7.0
308,6,7.0
308,7,7.0
308,8,5.0
308,9,5.0
308,10,4.0
308,11,9.0
308,12,4.0
308,13,10.0
308,14,3.0
308,15,3.0
308,16,9.0
308,17,7.0
308,18,9.0
308,19,8.0
308,20,7.0
308,21,7.0
308,22,9.0
308,23,10.0
308,24,11.0
308,25,11.0
308,26,6.0
308,27,3.0
308,28,3.0
308,29,3.0
308,30,2.0
308,31,3.0
308,32,1.0
308,33,4.0
325,0,4.0
325,1,4.0
325,2,3.0
325,3,1.0
325,4,2.0
325,5,5.0
325,6,8.0
325,7,5.0
325,8,6.0
325,9,9.0
325,10,8.0
325,11,9.0
325,12,6.0
325,13,9.0
325,14,10.0
325,15,6.0
325,16,5.0
325,17,1.0
325,18,7.0
325,19,5.0
325,20,4.0
325,21,4.0
325,22,5.0
325,23,3.0
325,24,6.0
325,25,4.0
325,26,4.0
325,27,3.0
325,28,4.0
325,29,2.0
325,30,5.0
325,31,2.0
325,32,5.0
325,33,4.0
448,0,4.0
448,1,6.0
448,2,6.0
448,3,5.0
448,4,5.0
448,5,10.0
448,6,6.0
448,7,4.0
448,8,7.0
448,9,6.0
448,10,3.0
448,11,8.0
448,12,3.0
448,13,4.0
448,14,6.0
448,15,6.0
448,16,7.0
448,17,7.0
448,18,6.0
448,19,6.0
448,20,5.0
448,21,5.0
448,22,2.0
448,23,2.0
448,24,3.0
448,25,5.0
448,26,3.0
448,27,4.0
448,28,3.0
448,29,2.0
448,30,2.0
448,31,3.0
448,32,3.0
448,33,1.0
464,0,38.0
464,1,58.0
464,2,53.0
464,3,58.0
464,4,37.0
464,5,34.0
464,6,42.0
464,7,38.0
464,8,41.0
464,9,51.0
464,10,46.0
464,11,37.0
464,12,36.0
464,13,27.0
464,14,33.0
464,15,25.0
464,16,27.0
464,17,27.0
464,18,29.0
464,19,22.0
464,20,27.0
464,21,32.0
464,22,21.0
464,23,26.0
464,24,14.0
464,25,32.0
464,26,30.0
464,27,21.0
464,28,23.0
464,29,23.0
464,30,29.0
464,31,22.0
464,32,17.0
464,33,23.0
482,0,119.0
482,1,120.0
482,2,131.0
482,3,125.0
482,4,67.0
482,5,84.0
482,6,110.0
482,7,64.0
482,8,92.0
482,9,132.0
482,10,86.0
482,11,89.0
482,12,119.0
482,13,80.0
482,14,111.0
482,15,107.0
482,16,54.0
482,17,58.0
482,18,84.0
482,19,72.0
482,20,64.0
482,21,73.0
482,22,60.0
482,23,69.0
482,24,75.0
482,25,58.0
482,26,67.0
482,27,74.0
482,28,49.0
482,29,52.0
482,30,58.0
482,31,37.0
482,32,31.0
482,33,46.0
491,0,41.0
491,1,33.0
491,2,41.0
491,3,36.0
491,4,25.0
491,5,34.0
491,6,27.0
491,7,38.0
491,8,28.0
491,9,21.0
491,10,22.0
491,11,26.0
